track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song
SedonaHoundmouth,,,59,,,239881,3/17/15 0:00,61,Little Neon Limelight,Houndmouth,Sedona
Let It HappenGracie Abrams,,,,59,,260946,6/20/24 0:00,65,The Secret of Us,Gracie Abrams,Let It Happen
The Age of Worry - Live at Electric LadyYebba,58,,,,,227880,1/25/22 0:00,35,,Yebba,The Age of Worry - Live at Electric Lady
Friday NightEric Paslay,,58,,,,167213,1/1/14 0:00,52,Eric Paslay,Eric Paslay,Friday Night
greedyTate McRae,,,58,,,131872,9/15/23 0:00,81,THINK LATER,Tate McRae,greedy
U SmileJustin Bieber,,,,58,,196906,1/1/10 0:00,57,My World 2.0,Justin Bieber,U Smile
Ain't No Love In Oklahoma (From Twisters: The Album)Luke Combs,57,,,,,210950,5/16/24 0:00,78,,Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album)
Gang Shit No Lame ShitKey Glock,,57,,,,131600,11/23/18 0:00,66,Glockoma,Key Glock,Gang Shit No Lame Shit
us. (feat. Taylor Swift)Gracie Abrams,,,57,26,Taylor Swift,242666,6/20/24 0:00,75,The Secret of Us,Gracie Abrams,us. (feat. Taylor Swift)
Junior VarsityDayglow,,,,57,,252400,11/14/19 0:00,38,Fuzzybrain,Dayglow,Junior Varsity
Love MyselfHailee Steinfeld,56,,,,,218773,2/26/16 0:00,64,,Hailee Steinfeld,Love Myself
my ex's best friend (with blackbear)mgk,,56,,,blackbear,139460,9/25/20 0:00,67,Tickets To My Downfall,mgk,my ex's best friend (with blackbear)
Rhinestone CowboyGlen Campbell,,,56,,,194453,1/1/75 0:00,61,Rhinestone Cowboy (Expanded Edition),Glen Campbell,Rhinestone Cowboy
Guy I Used To BeLawrence,,,,56,,227200,4/5/24 0:00,39,Family Business,Lawrence,Guy I Used To Be
Midwest IndigoTwenty One Pilots,55,,,,,196266,5/24/24 0:00,64,Clancy,Twenty One Pilots,Midwest Indigo
Flagpole SittaThe All-American Rejects,,55,,,,223003,9/13/24 0:00,39,,The All-American Rejects,Flagpole Sitta
vampireOlivia Rodrigo,,,,55,,219724,9/8/23 0:00,79,GUTS,Olivia Rodrigo,vampire
