track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song,Popularity_ID
Mon coeur avait raison - Pilule bleueGIMS,,78,,,,242586.0,2015-08-28 00:00:00,51.0,Mon coeur avait raison,GIMS,Mon coeur avait raison - Pilule bleue,2GzbeXhNYv3X1F588zT7vl
Diet PepsiAddison Rae,,,78,,,169697.0,2024-08-09 00:00:00,84.0,,Addison Rae,Diet Pepsi,6MzofobZt2dm0Kf1hTThFz
Come Down SoonLizzy McAlpine,,,,78,,224960.0,2024-04-05 00:00:00,53.0,Older,Lizzy McAlpine,Come Down Soon,6rEcXviYlZCEx01m1z7qZv
She Got the Best of MeLuke Combs,77,,,,,183160.0,2018-06-01 00:00:00,78.0,This One's for You Too (Deluxe Edition),Luke Combs,She Got the Best of Me,698eQRku24PIYPQPHItKlA
"Heaven, IowaFall Out Boy",,77,,,,236754.0,2023-03-24 00:00:00,49.0,So Much (For) Stardust,Fall Out Boy,"Heaven, Iowa",3GKg5UKHIi1Tj2Noz5N0F5
You're Sixteen (You’re Beautiful And You’re Mine)Ringo Starr,,,77,,,169693.0,1973-01-01 00:00:00,48.0,Ringo,Ringo Starr,You're Sixteen (You’re Beautiful And You’re Mine),4MAxWahEbzU8m4bD6mSZg9
You Could Start A CultNiall Horan,,,,77,,200497.0,2023-06-09 00:00:00,53.0,The Show,Niall Horan,You Could Start A Cult,3iVmzeoFR0AZrn8EYFnEsB
Die TryingKey Glock,,76,,,,153106.0,2022-11-17 00:00:00,69.0,,Key Glock,Die Trying,4qNYl4NkngYRqf6DtTyD9I
There's Your TroubleThe Chicks,,,76,,,193064.0,1998-01-27 00:00:00,62.0,Wide Open Spaces,The Chicks,There's Your Trouble,69m9WDPBvemwujQwdONslk
You Are the Best ThingRay LaMontagne,,,,76,,231840.0,2008-10-13 00:00:00,68.0,Gossip In The Grain,Ray LaMontagne,You Are the Best Thing,1jyddn36UN4tVsJGtaJfem
World on FireNate Smith,75,,,,,189986.0,2023-04-28 00:00:00,75.0,NATE SMITH (DELUXE),Nate Smith,World on Fire,5ya0TmUQw2wHMkq36rPsnd
TombéM. Pokora,,75,,,,233800.0,2019-04-12 00:00:00,44.0,PYRAMIDE,M. Pokora,Tombé,3EiDyqPIjDDo6F8RS5Lj4t
SkateBruno Mars,,,75,,Anderson .Paak,203122.0,2021-11-11 00:00:00,68.0,An Evening With Silk Sonic,Bruno Mars,Skate,7jvCeWOSnJs2N3spqobWnO
Pink Pony ClubChappell Roan,,,11,75,,258034.0,2022-04-23 00:00:00,87.0,The Rise and Fall of a Midwest Princess,Chappell Roan,Pink Pony Club,1k2pQc5i348DCHwbn5KTdc
Pretty Little PoisonWarren Zeiders,74,,,,,218260.0,2023-03-17 00:00:00,76.0,Pretty Little Poison,Warren Zeiders,Pretty Little Poison,0MIp9iBm1V41ERxkZnmSUG
Quittin' TimeZach Bryan,,74,,,,220885.0,2022-07-15 00:00:00,66.0,,Zach Bryan,Quittin' Time,50Emgupm363qIrYBe20FR3
Grease - 2007 RemasterFrankie Valli,,,74,,,207306.0,1978-01-01 00:00:00,65.0,Frankie Valli...Is The Word,Frankie Valli,Grease - 2007 Remaster,5Vrczz39CvlD3OGCa6utoA
All Falls DownLizzy McAlpine,,,,74,,171840.0,2024-04-05 00:00:00,56.0,Older,Lizzy McAlpine,All Falls Down,46kXlOq68HXFrhkxGV6qtI
ChemicalPost Malone,73,,,,,184013.0,2023-04-14 00:00:00,75.0,The Diamond Collection (Deluxe),Post Malone,Chemical,5w40ZYhbBMAlHYNDaVJIUu
Iowa WhoreYung Buttpiss,,73,,,,159408.0,2022-08-16 00:00:00,3.0,Baby Brains,Yung Buttpiss,Iowa Whore,00j7iDi26rWOK6Q1FEv5Jt
BURN¥$,,,73,,Kanye West,111477.0,2024-02-09 00:00:00,70.0,VULTURES 1,¥$,BURN,7BPadP3q9qwMkho3IMPU99
You Go Down SmoothLake Street Dive,,,,73,,209400.0,2014-02-18 00:00:00,52.0,Bad Self Portraits,Lake Street Dive,You Go Down Smooth,2NVTpSoonYCVm7RE8zczEy
If I'm HonestTrousdale,72,,,12,,162701.0,2023-08-18 00:00:00,48.0,Out Of My Mind,Trousdale,If I'm Honest,0BjqRekzGWZ4es58rTkza9
One Last BreathCreed,,72,,,,238240.0,2001-01-01 00:00:00,81.0,Weathered,Creed,One Last Breath,42T2QQv3xgBlpQxaSP7lnK
Last Train HomeJohn Mayer,,,72,,,187306.0,2021-07-16 00:00:00,60.0,Sob Rock,John Mayer,Last Train Home,0tgBtQ0ISnMQOKorrN9HLX
PoemsCouch,,,,72,,189135.0,2022-09-23 00:00:00,45.0,,Couch,Poems,0B2SaH1ByxhJnoN3VlGnrn
The Hardest PartOlivia Dean,71,,,,,176048.0,2020-08-07 00:00:00,71.0,Messy,Olivia Dean,The Hardest Part,3cPoiK69oQ1SdbB2j2ulGm
Friday - Rebecca's Black & White RemixFlo Rida,,71,,,,155624.0,2024-08-23 00:00:00,29.0,,Flo Rida,Friday - Rebecca's Black & White Remix,0uimoUttVoJT9WV1j2LZqy
